0.022026,-0.20519,0.0060084,-0.9501,-0.51607,0.0060084,-1.8204,-0.52413,0.0060084,-2.7475,-0.52477,0.0060084,-3.7635,-0.51994,0.0060084,-4.9636,-0.51936,0.0060084,-5.8411,-0.51582,0.0060084,-6.6778,-0.31015,0.0060084
0.020588,-0.19968,0.0050102,-0.95124,-0.51565,0.0050102,-1.8214,-0.52386,0.0050102,-2.7486,-0.52473,0.0050102,-3.7645,-0.52007,0.0050102,-4.9646,-0.51967,0.0050102,-5.8423,-0.51622,0.0050102,-6.6791,-0.31414,0.0050102
0.020214,-0.19536,0.0040765,-0.95131,-0.5152,0.0040765,-1.8213,-0.52375,0.0040765,-2.7486,-0.5248,0.0040765,-3.7645,-0.52021,0.0040765,-4.9645,-0.5199,0.0040765,-5.8424,-0.51658,0.0040765,-6.6793,-0.31789,0.0040765
0.02077,-0.19264,0.0032928,-0.95053,-0.51506,0.0032928,-1.8205,-0.5238,0.0032928,-2.7478,-0.52496,0.0032928,-3.7636,-0.52033,0.0032928,-4.9636,-0.52001,0.0032928,-5.8417,-0.51682,0.0032928,-6.6786,-0.32072,0.0032928
0.022051,-0.19092,0.0027841,-0.94908,-0.51474,0.0027841,-1.819,-0.52384,0.0027841,-2.7464,-0.52507,0.0027841,-3.7621,-0.52038,0.0027841,-4.9621,-0.52003,0.0027841,-5.8403,-0.51698,0.0027841,-6.6773,-0.32273,0.0027841
0.023744,-0.19061,0.0025272,-0.94733,-0.51456,0.0025272,-1.8173,-0.52399,0.0025272,-2.7446,-0.52523,0.0025272,-3.7603,-0.52042,0.0025272,-4.9603,-0.51996,0.0025272,-5.8386,-0.517,0.0025272,-6.6756,-0.32363,0.0025272
0.025571,-0.19184,0.0025223,-0.94556,-0.51471,0.0025223,-1.8155,-0.52427,0.0025223,-2.7429,-0.52546,0.0025223,-3.7586,-0.52045,0.0025223,-4.9586,-0.51981,0.0025223,-5.8368,-0.51683,0.0025223,-6.6738,-0.3232,0.0025223
0.0273,-0.19372,0.0029483,-0.94394,-0.51487,0.0029483,-1.8139,-0.52454,0.0029483,-2.7412,-0.52565,0.0029483,-3.757,-0.52046,0.0029483,-4.957,-0.51967,0.0029483,-5.8352,-0.51662,0.0029483,-6.6721,-0.32209,0.0029483
0.028762,-0.19607,0.0036585,-0.94263,-0.51511,0.0036585,-1.8127,-0.52479,0.0036585,-2.7399,-0.52582,0.0036585,-3.7557,-0.52047,0.0036585,-4.9557,-0.51953,0.0036585,-5.8339,-0.51636,0.0036585,-6.6707,-0.32048,0.0036585
0.029855,-0.19879,0.0045623,-0.94171,-0.51551,0.0045623,-1.8118,-0.52508,0.0045623,-2.739,-0.526,0.0045623,-3.7548,-0.52048,0.0045623,-4.9549,-0.51939,0.0045623,-5.833,-0.51607,0.0045623,-6.6697,-0.31851,0.0045623
